Account ID,Rate Plan ID,Rate Plan Name,Order source,Plan,Min buy Hosts,Max Buy Hosts,Min Active Host Percent,Active Host,Bundle,Discount,Status,Effective Date,Expire Date
UZu4dnpgTJev3mGCV8f_eg,2c92a0fd6c298453016c53b20ce525d9,"Webinar 20,000 Monthly",2,webinar20000_monthly,1,0,0,0,0,-1,0,2021-01-19,3000-01-01
UZu4dnpgTJev3mGCV8f_eg,2c92a0fd6c298453016c53b20d2c25e8,"Webinar 20,000 Annual",2,webinar20000_yearly,1,0,0,0,0,-1,0,2021-01-19,3000-01-01
